,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
52,Whittier Heights,47.683296192296396,-122.37142025116897,Tarasco,47.67965307371493,-122.3747641605407,Bar
53,Whittier Heights,47.683296192296396,-122.37142025116897,Pole For The Soul,47.683034,-122.37644399999999,Dance Studio
54,Whittier Heights,47.683296192296396,-122.37142025116897,Galway Traders,47.683852,-122.376397,Gift Shop
55,Whittier Heights,47.683296192296396,-122.37142025116897,Metro stop #13640,47.68298530787868,-122.37672622784247,Bus Stop
56,West Woodland,47.66787434216366,-122.36855994221962,Stoup Brewing,47.66655061099335,-122.3712765373555,Brewery
57,West Woodland,47.66787434216366,-122.36855994221962,Fair Isle Brewing,47.66457,-122.370125,Brewery
58,West Woodland,47.66787434216366,-122.36855994221962,Reuben's Brews,47.665398,-122.37327,Brewery
59,West Woodland,47.66787434216366,-122.36855994221962,El Camión,47.66937068389925,-122.37250884474186,Food Truck
60,West Woodland,47.66787434216366,-122.36855994221962,Trailbend Taproom,47.66515536499787,-122.37157687427263,Beer Bar
61,West Woodland,47.66787434216366,-122.36855994221962,Lucky Envelope Brewing,47.66494769532897,-122.36914585410982,Brewery
62,West Woodland,47.66787434216366,-122.36855994221962,Ballard Market,47.66993392795242,-122.3744267310249,Supermarket
63,West Woodland,47.66787434216366,-122.36855994221962,Veraci Pizza,47.66886007528028,-122.36332202311158,Pizza Place
64,West Woodland,47.66787434216366,-122.36855994221962,Slate Coffee Bar,47.66836129588859,-122.36336096729093,Coffee Shop
65,West Woodland,47.66787434216366,-122.36855994221962,Brimmer & Heeltap,47.66850923603331,-122.36315947970634,Gastropub
66,West Woodland,47.66787434216366,-122.36855994221962,Seattle Gymnastics Academy,47.666194078836824,-122.37467040100205,Gymnastics Gym
67,West Woodland,47.66787434216366,-122.36855994221962,Redbox,47.663657,-122.370267,Video Store
68,West Woodland,47.66787434216366,-122.36855994221962,Domino's Pizza,47.66885757446289,-122.36327362060547,Pizza Place
69,West Woodland,47.66787434216366,-122.36855994221962,Firestone Complete Auto Care,47.66834844,-122.3725993,Automotive Shop
70,West Woodland,47.66787434216366,-122.36855994221962,Obec Brewing,47.66659646417645,-122.3726723929534,Brewery
71,West Woodland,47.66787434216366,-122.36855994221962,Woodland Coffee,47.66789903809217,-122.37511394293739,Coffee Shop
72,West Woodland,47.66787434216366,-122.36855994221962,Shell,47.668488668292305,-122.365850879872,Gas Station
73,West Woodland,47.66787434216366,-122.36855994221962,Starbucks,47.668272,-122.374228,Coffee Shop
74,West Woodland,47.66787434216366,-122.36855994221962,Ballard Mandarin,47.668893916380206,-122.36598440584147,Chinese Restaurant
75,West Woodland,47.66787434216366,-122.36855994221962,KFC,47.66889565188643,-122.37280702637196,Fried Chicken Joint
76,West Woodland,47.66787434216366,-122.36855994221962,Gilman Playground,47.66720813378768,-122.36960649490356,Playground
